Measure,BA,Reg,ER,Lobster,WS,SUSC,Cycle,Grid,Ladder,Hyper
LN,0.744,0.653,0.698,0.087,0.234,0.632,0.03,0.265,0.156,0.562
WDeg,0.877,0.742,0.787,0.168,0.405,0.623,0.116,0.448,0.195,0.603
BC-CD,0.74,0.603,0.611,0.083,0.147,0.526,0.027,0.175,0.086,0.445
ABC-CD,0.754,0.653,0.614,0.093,0.159,0.537,0.031,0.19,0.092,0.498
ABC-WSP,0.894,0.593,0.593,0.361,0.249,NAN,0.085,0.089,0.348,0.675
EC-CD,0.718,0.621,0.599,0.083,0.297,0.57,0.026,0.258,0.201,0.49
EC-WMat,0.945,0.851,0.847,0.163,0.592,0.639,0.082,0.589,0.428,0.769
EC-C*,0.72,0.621,0.597,0.083,0.298,0.572,0.025,0.259,0.196,0.491
CfBC-CD,0.866,0.873,0.831,1,0.483,0.682,1,0.663,0.923,0.735
CfBC-WEdge,1,0.751,0.757,0.385,0.397,NAN,0.146,0.153,0.494,0.924
CfBC-WSup,0.987,1,1,1,1,0.787,1,1,1,1
CfBC-C*,0.901,0.689,0.678,0.311,0.364,NAN,0.084,0.088,0.328,0.835
GND,0.832,0.414,0.593,0.075,0.216,1,0.075,0.34,0.11,0.417